,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50,ED50,ED50,ED50
rpl36a,11.51246532,linear_up,0.002135567,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532,11.51246532
rpl6,0.145597185,LL.3_up,0.002640458,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185,0.145597185
rpl7a,12.40365766,linear_up,0.020431544,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766,12.40365766
rpn1,11.10619283,linear_up,0.014255036,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283,11.10619283
RPS17,72.84009479,linlog_up,0.029233526,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479,72.84009479
rps24,15.99675907,linear_up,0.007743412,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907,15.99675907
rps26,0.240988957,LL.3_up,0.00062839,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957,0.240988957
rps27a,40.42073086,linear_up,0.033518103,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086,40.42073086
rps3a,16.08851335,linear_up,0.010795216,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335,16.08851335
rps5,12.58578981,linear_up,0.017688962,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981,12.58578981
rps6ka5,5.580172324,linear_down,0.018515536,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324,5.580172324
rxrba,15.95805498,linear_down,0.045353702,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498,15.95805498
sae1,17.02433428,linear_down,0.01285742,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428,17.02433428
sec23a,1.580222034,LL.3_up,0.003011358,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034,1.580222034
sf3b3,16.1656658,linlog_down,0.000373846,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658,16.1656658
slc25a5,14.5297692,linear_up,0.012144171,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692,14.5297692
slc29a1a,11.18913443,linear_down,0.040596179,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443,11.18913443
